ID	QUALITY
ERR346600.1082	35
ERR346600.1079	30
ERR346600.1099	35
ERR346600.1094	18
ERR346600.1101	37
ERR346600.1092	32
ERR346600.1096	27
ERR346600.1102	34
ERR346600.1100	30
ERR346600.1104	33
ERR346600.1114	28
ERR346600.1109	38
ERR346600.1106	34
ERR346600.1107	34
ERR346600.1113	35
ERR346600.1103	36
ERR346600.1112	34
ERR346600.1108	37
ERR346600.1110	37
ERR346600.1111	31
ERR346600.1119	32
ERR346600.1115	34
ERR346600.1118	35
ERR346600.1127	29
ERR346600.1124	32
ERR346600.1116	30
ERR346600.1122	37
ERR346600.1128	33
ERR346600.1105	36
ERR346600.1125	26
ERR346600.1117	33
ERR346600.1134	30
ERR346600.1136	34
ERR346600.1129	37
ERR346600.1126	29
ERR346600.1123	28
ERR346600.1132	38
ERR346600.1133	37
ERR346600.1137	38
ERR346600.1143	32
ERR346600.1138	25
ERR346600.1140	26
ERR346600.1147	37
ERR346600.1153	34
ERR346600.1135	35
ERR346600.1148	37
ERR346600.1156	37
ERR346600.1145	28
ERR346600.1141	33
ERR346600.1131	36
ERR346600.1159	38
ERR346600.1154	27
ERR346600.1152	38
ERR346600.1160	36
ERR346600.1158	30
ERR346600.1150	36
ERR346600.1155	38
ERR346600.1151	30
ERR346600.1149	36
ERR346600.1162	21
ERR346600.1166	36
ERR346600.1164	37
ERR346600.1163	35
ERR346600.1165	36
ERR346600.1170	32
ERR346600.1167	37
ERR346600.1171	37
ERR346600.1161	37
ERR346600.1168	38
ERR346600.1169	34
ERR346600.1172	38
ERR346600.1146	37
ERR346600.1178	27
ERR346600.1179	33
ERR346600.1173	31
ERR346600.1180	33
ERR346600.1189	36
ERR346600.1183	36
ERR346600.1174	37
ERR346600.1176	35
ERR346600.1184	32
ERR346600.1185	26
ERR346600.1175	34
ERR346600.1194	36
ERR346600.1182	32
ERR346600.1192	31
ERR346600.1190	30
ERR346600.1197	36
ERR346600.1193	33
ERR346600.1181	37
ERR346600.1186	38
ERR346600.1187	25
ERR346600.1199	36
ERR346600.1191	31
ERR346600.1198	32
ERR346600.1200	30
ERR346600.1188	33
ERR346600.1203	32
ERR346600.1201	31
ERR346600.1207	38
ERR346600.1195	24
ERR346600.1202	31
ERR346600.1205	37
ERR346600.1206	35
ERR346600.1196	38
ERR346600.1210	33
ERR346600.1214	30
ERR346600.1211	36
ERR346600.1209	34
ERR346600.1212	35
ERR346600.1217	32
ERR346600.1213	37
ERR346600.1219	32
ERR346600.1216	37
ERR346600.1218	34
ERR346600.1223	36
ERR346600.1204	24
ERR346600.1221	27
ERR346600.1231	31
ERR346600.1208	35
ERR346600.1215	36
ERR346600.1228	29
ERR346600.1227	28
ERR346600.1225	35
ERR346600.1224	31
ERR346600.1235	24
ERR346600.1226	36
ERR346600.1222	26
ERR346600.1238	35
ERR346600.1234	38
ERR346600.1233	34
ERR346600.1232	36
ERR346600.1243	32
ERR346600.1242	36
ERR346600.1229	31
ERR346600.1237	34
ERR346600.1239	36
ERR346600.1236	34
ERR346600.1247	30
ERR346600.1245	30
ERR346600.1241	35
ERR346600.1240	35
ERR346600.1244	30
ERR346600.1230	38
ERR346600.1249	34
ERR346600.1250	35
ERR346600.1246	35
ERR346600.1248	38
ERR346600.1253	36
ERR346600.1252	26
ERR346600.1254	34
ERR346600.1251	34
ERR346600.1256	36
ERR346600.1262	33
ERR346600.1258	33
ERR346600.1261	36
ERR346600.1263	24
ERR346600.1264	25
ERR346600.1265	31
ERR346600.1274	35
ERR346600.1270	37
ERR346600.1266	32
ERR346600.1272	36
ERR346600.1273	33
ERR346600.1280	32
ERR346600.1267	21
ERR346600.1276	37
ERR346600.1282	35
ERR346600.1279	34
ERR346600.1269	36
ERR346600.1277	25
ERR346600.1287	33
ERR346600.1286	33
ERR346600.1288	33
ERR346600.1284	30
ERR346600.1275	35
ERR346600.1271	31
ERR346600.1291	35
ERR346600.1283	34
ERR346600.1289	38
ERR346600.1290	16
ERR346600.1294	36
ERR346600.1292	36
ERR346600.1295	36
ERR346600.1285	33
ERR346600.1293	29
ERR346600.1297	31
ERR346600.1304	34
ERR346600.1296	35
ERR346600.1300	31
ERR346600.1302	36
ERR346600.1299	35
ERR346600.1281	34
ERR346600.1305	22
ERR346600.1306	37
ERR346600.1312	20
ERR346600.1313	33
ERR346600.1308	28
ERR346600.1303	35
ERR346600.1310	34
ERR346600.1307	33
ERR346600.1315	27
ERR346600.1309	29
ERR346600.1311	35
ERR346600.1318	35
ERR346600.1321	27
ERR346600.1325	37
ERR346600.1314	31
ERR346600.1317	35
ERR346600.1327	37
ERR346600.1322	37
ERR346600.1323	38
ERR346600.1328	35
ERR346600.1330	37
ERR346600.1320	32
ERR346600.1332	35
ERR346600.1329	35
ERR346600.1326	33
ERR346600.1333	29
ERR346600.1316	29
ERR346600.1319	35
ERR346600.1336	27
ERR346600.1340	28
ERR346600.1338	37
ERR346600.1341	29
ERR346600.1334	35
ERR346600.1337	24
ERR346600.1342	23
ERR346600.1335	35
ERR346600.1339	33
ERR346600.1344	37
ERR346600.1345	32
ERR346600.1351	32
ERR346600.1350	36
ERR346600.1355	26
ERR346600.1357	30
ERR346600.1353	30
ERR346600.1354	29
ERR346600.1359	37
ERR346600.1346	27
ERR346600.1356	36
ERR346600.1358	36
ERR346600.1364	38
